4
darknet-yolov3
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Resizing
544
Loaded: 0.768239 seconds
Region 82 Avg IOU: 0.125316, Class: 0.745191, Obj: 0.809697, No Obj: 0.487247, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.143729, Class: 0.298234, Obj: 0.562007, No Obj: 0.493735, .5R: 0.133333, .75R: 0.066667,  count: 15
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.605796, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.202025, Class: 0.743119, Obj: 0.493123, No Obj: 0.486675, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.131965, Class: 0.326060, Obj: 0.537954, No Obj: 0.495127, .5R: 0.000000, .75R: 0.000000,  count: 17
Region 106 Avg IOU: 0.136354, Class: 0.702474, Obj: 0.346433, No Obj: 0.609871, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.488455, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.069084, Class: 0.335324, Obj: 0.544742, No Obj: 0.494532, .5R: 0.000000, .75R: 0.000000,  count: 15
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.609873, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.202652, Class: 0.440103, Obj: 0.118227, No Obj: 0.488072, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.112228, Class: 0.267644, Obj: 0.563823, No Obj: 0.494680, .5R: 0.000000, .75R: 0.000000,  count: 23
Region 106 Avg IOU: 0.092375, Class: 0.979997, Obj: 0.593003, No Obj: 0.604192, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.066148, Class: 0.558369, Obj: 0.440033, No Obj: 0.487159, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.125639, Class: 0.455036, Obj: 0.659981, No Obj: 0.494575, .5R: 0.000000, .75R: 0.000000,  count: 9
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.598210, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.187301, Class: 0.578677, Obj: 0.376363, No Obj: 0.485566, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 94 Avg IOU: 0.094638, Class: 0.352327, Obj: 0.532475, No Obj: 0.493335, .5R: 0.000000, .75R: 0.000000,  count: 23
Region 106 Avg IOU: 0.008124, Class: 0.958213, Obj: 0.995286, No Obj: 0.602868, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.487463, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.126680, Class: 0.347342, Obj: 0.472679, No Obj: 0.493970, .5R: 0.066667, .75R: 0.000000,  count: 15
Region 106 Avg IOU: 0.093619, Class: 0.994506, Obj: 0.347066, No Obj: 0.603007, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.150181, Class: 0.667503, Obj: 0.507264, No Obj: 0.487291, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 94 Avg IOU: 0.128694, Class: 0.328654, Obj: 0.502237, No Obj: 0.494067, .5R: 0.052632, .75R: 0.000000,  count: 19
Region 106 Avg IOU: 0.043563, Class: 0.293196, Obj: 0.506724, No Obj: 0.607801, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.041938, Class: 0.018989, Obj: 0.954707, No Obj: 0.487320, .5R: 0.000000, .75R: 0.000000,  count: 1
